Date,Open,High,Low,Close,Volume
03-01-2005,51.605,52.779999,51.605,52.525002,1295580
04-01-2005,52.505001,53.099998,50.5,51.945,2238060
05-01-2005,52,52,48.700001,50.005001,3987870
06-01-2005,50.005001,50.98,47.900002,48.514999,4829510
07-01-2005,48.799999,49.375,48.450001,49.025002,2649000
10-01-2005,50,50.799999,48.525002,48.974998,6612870
11-01-2005,49,49.174999,48,48.34,2391110
12-01-2005,48.34,48.689999,47.509998,48.095001,1418790
13-01-2005,48,50.799999,48,49.889999,5395920
14-01-2005,49.900002,52.200001,49.224998,51.494999,7951920
17-01-2005,52,52.900002,50.814999,52.005001,4741790
18-01-2005,52.790001,52.790001,50,51.355,5000060
19-01-2005,51.77,52.5,50.955002,51.889999,4517460
20-01-2005,51.099998,52.099998,50,51.134998,10908070
24-01-2005,51.389999,51.389999,48.599998,49.134998,8397760
25-01-2005,52.5,53.939999,49.209999,52.060001,10062480
27-01-2005,52.224998,54.799999,51.799999,53.764999,12111540
28-01-2005,53.764999,54.880001,52.724998,53.985001,4875880
31-01-2005,53.650002,57,53.5,56.459999,6678540
01-02-2005,56.599998,56.875,55.025002,56.014999,3864030
02-02-2005,56.494999,56.494999,55.299999,55.860001,2302470
03-02-2005,55.900002,57.5,55.700001,57.349998,4041190
04-02-2005,57,57.900002,56.305,56.715,1789170
07-02-2005,56.525002,57.5,55.205002,56.174999,1201250
08-02-2005,55.799999,57.5,55.705002,57.044998,1757160
09-02-2005,57.200001,58.990002,57,58.810001,3017540
10-02-2005,59,59,57.509998,57.950001,1707700
11-02-2005,57.994999,57.994999,56.799999,57.5,2430360
14-02-2005,56.240002,57.825001,56.240002,56.865002,3129960
15-02-2005,57.5,57.799999,56.009998,56.25,3171500
16-02-2005,56.5,57.299999,55.700001,56.200001,4369080
17-02-2005,56,56.360001,55.509998,55.830002,1507400
18-02-2005,56.195,56.700001,56,56.419998,1616930
21-02-2005,56.889999,56.889999,55.424999,56.049999,3108700
22-02-2005,55.599998,56.5,55.599998,56.060001,1732660
23-02-2005,56,56.080002,55.41,55.810001,3099060
24-02-2005,56.375,57.825001,55.904999,57.599998,3356420
25-02-2005,57.595001,57.595001,56.209999,57.014999,1620480
